,기온(°C),강수량(mm),습도(%),전운량(10분위),적설(cm),풍속(m/s),pv_efficiency,month,hour,일사(MJ/m2)
0,0.6702127659574468,0.0,0.35483870967741943,0.0,0.0,0.13333333333333336,0.5684575389948007,0.36363636363636365,0.43478260869565216,2.8
1,0.7574468085106383,0.0,0.7849462365591399,1.0,0.0,0.2181818181818182,0.13518197573656843,0.7272727272727273,0.5217391304347826,1.1
2,0.7191489361702128,0.0,0.5053763440860215,0.5,0.0,0.2181818181818182,0.8752166377816291,0.36363636363636365,0.2608695652173913,0.07
3,0.548936170212766,0.0,0.2688172043010753,0.1,0.0,0.03636363636363636,0.9523396880415945,0.09090909090909091,0.4782608695652174,2.27
4,0.3191489361702127,0.0,0.47311827956989255,0.8,0.0,0.1575757575757576,0.38734835355285957,0.9999999999999999,0.3913043478260869,0.41
5,0.4425531914893617,0.0,0.32258064516129037,0.0,0.0,0.1272727272727273,0.65684575389948,0.09090909090909091,0.5217391304347826,2.24
6,0.6574468085106382,0.0,0.7311827956989247,1.0,0.0,0.15151515151515152,0.7227036395147314,0.9090909090909091,0.6521739130434783,0.73
7,0.5191489361702127,0.0,0.5053763440860215,0.0,0.0,0.18181818181818182,0.7149046793760832,0.9090909090909091,0.7391304347826086,0.32
8,0.6085106382978722,0.0,0.31182795698924737,0.0,0.0,0.4181818181818182,0.9194107452339688,0.2727272727272727,0.6521739130434783,2.95
9,0.6042553191489362,0.0,0.21505376344086025,0.0,0.0,0.2303030303030303,0.58578856152513,0.2727272727272727,0.6956521739130435,2.49
10,0.48723404255319147,0.0,0.5591397849462366,1.0,0.0,0.17575757575757575,0.6629116117850953,0.0,0.5217391304347826,0.86
11,0.5638297872340425,0.0,0.47311827956989255,0.7000000000000001,0.0,0.22424242424242427,0.6074523396880416,0.1818181818181818,0.4782608695652174,3.1
12,0.24893617021276596,0.0,0.36559139784946243,0.0,0.0,0.1272727272727273,0.3622183708838821,0.0,0.8260869565217391,0.0
13,0.5319148936170213,0.007102272727272727,0.8924731182795699,1.0,0.0,0.13939393939393938,0.5909878682842288,0.2727272727272727,0.4782608695652174,0.56
14,0.9106382978723404,0.0,0.6881720430107527,0.2,0.0,0.15151515151515152,0.4852686308492201,0.6363636363636364,0.43478260869565216,2.43
15,0.5297872340425531,0.0,0.35483870967741943,0.1,0.0,0.16969696969696968,0.9696707105719238,0.09090909090909091,0.6086956521739131,2.4
16,0.6255319148936169,0.0,0.5268817204301075,0.30000000000000004,0.0,0.21212121212121213,0.7218370883882149,0.9090909090909091,0.43478260869565216,0.95
17,0.6574468085106382,0.008522727272727272,0.9247311827956989,1.0,0.0,0.16363636363636366,0.537261698440208,0.4545454545454545,0.5217391304347826,0.53
18,0.01489361702127659,0.0,0.33333333333333337,0.0,0.0,0.13333333333333336,0.3604852686308492,0.0,0.2608695652173913,0.0
19,0.5148936170212766,0.0,0.5053763440860215,0.8,0.0,0.19999999999999998,0.6984402079722704,0.9999999999999999,0.5217391304347826,0.99
20,0.7042553191489361,0.0,0.5053763440860215,0.30000000000000004,0.0,0.14545454545454545,0.08665511265164638,0.9090909090909091,0.5652173913043478,1.8
21,0.4957446808510638,0.0,0.23655913978494625,0.0,0.0,0.16363636363636366,0.6819757365684576,0.0,0.6521739130434783,1.61
22,0.5553191489361702,0.0,0.5591397849462366,0.0,0.0,0.4727272727272727,0.2963604852686308,0.1818181818181818,0.7391304347826086,1.37
23,0.35744680851063826,0.0,0.5483870967741935,0.30000000000000004,0.0,0.1090909090909091,0.3925476603119584,0.9999999999999999,0.2608695652173913,0.0
24,0.4723404255319149,0.0,0.33333333333333337,0.0,0.0,0.21212121212121213,0.045060658578855994,0.0,0.5652173913043478,2.14
25,0.8340425531914892,0.0,0.6236559139784946,0.4,0.0,0.11515151515151514,0.7946273830155979,0.6363636363636364,0.3913043478260869,1.61
26,0.848936170212766,0.0,0.7741935483870968,0.7000000000000001,0.0,0.1878787878787879,0.7651646447140382,0.7272727272727273,0.6086956521739131,2.0
27,0.7659574468085106,0.0,0.39784946236559143,0.0,0.0,0.15151515151515152,0.23743500866551104,0.36363636363636365,0.6521739130434783,3.15
28,0.3829787234042553,0.0,0.32258064516129037,0.0,0.0,0.2545454545454546,0.6741767764298093,0.0,0.7826086956521738,0.03
29,0.7702127659574467,0.0,0.8709677419354839,0.7000000000000001,0.0,0.3090909090909091,0.20103986135181984,0.5454545454545454,0.21739130434782608,0.0
30,0.13617021276595742,0.0,0.44086021505376344,0.0,0.0,0.13333333333333336,0.38128249566724426,0.9999999999999999,0.30434782608695654,0.0
31,0.5234042553191489,0.0,0.8172043010752689,0.8,0.0,0.18181818181818182,0.6447140381282496,0.09090909090909091,0.8260869565217391,0.0
32,0.7212765957446808,0.0,0.31182795698924737,0.2,0.0,0.1878787878787879,0.43067590987868287,0.8181818181818182,0.4782608695652174,2.37
33,0.4404255319148936,0.0,0.7204301075268817,0.0,0.0,0.18181818181818182,0.3006932409012131,0.1818181818181818,0.2608695652173913,0.0
34,0.6595744680851063,0.0,0.6666666666666666,0.0,0.0,0.3212121212121212,0.23916811091854395,0.36363636363636365,0.3913043478260869,1.91
35,0.6170212765957447,0.0,0.5591397849462366,0.30000000000000004,0.0,0.3575757575757576,0.2920277296360485,0.1818181818181818,0.5217391304347826,3.05
36,0.3191489361702127,0.0,0.5806451612903226,0.0,0.0,0.296969696969697,0.023396880415944343,0.09090909090909091,0.2608695652173913,0.0
